MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
THROW (AIR),8>4/6HP,1034(3 HITS),3,1,,,,
LP,5LP,315*2(598),9,3(1)3,32,47,-18,
HP,5HP,840,21,3,59,82,-39,
LK,5LK,525,10,3,33,45,-16,
HK,5HK,210*2+103+315,10,2(2)3(21)3(2)3,43,88,-26,
CROUCH LP,2LP,315*2(598),8,3(2)3,33,48,-20,
CROUCH HP,2HP,892,19,6,91,115,-76,
CROUCH LK,2LK,577,14,2,31,46,-14,
CROUCH HK,2HK,892,24,3,64,90,-44,
JUMP LP,8LP,262*2(498),11,2(4)3,22,41,,
JUMP HP,8HP,892,22,5,,,,
JUMP LK,8LK,525,9,3,21,32,,
JUMP HK,8HK,735,15,2,29,45,,
CIRCLE SLASH,6LP,315+420(693),24,2(3)3,33,64,-9,-4
OVERHEAD SLASH,6HP,945,31,10,93,133,-81,-76
LUNGING STRIKE,6HK,315+420,25,2(4)4,54,88,-39,23
JUMPING SHOT,8>2HK,735,19,19,,,,
DRAW SLASH (LP),236LP,1575,34,5,75,113,-59,26
DRAW SLASH (HP),236HP,1680,57,4,91,151,-74,19
DRAW SLASH (HP) (CHARGED),236(HP),1680,90,4,91,184,-74,19
DRAW SLASH (HP) (CHARGED) (CRITICAL),236(HP),3150,62,4,91,156,-66,76
>WIDE SLASH,236P>P,1050,34,5(47)3,64,152,-46,-3
>RISING SLASH,236P>2P,1050,34,5(53)6,92,189,-77,-34
>>*OVERHEAD SLASH,236P>P/2P>P,1575,34,5(47)3(59)2(0)3,75,227,-59,26
>>RAPID WIDE SLASH,236P>2P>2P,1050,34,5(53)6(41)2(0)1,64,205,-46,
DEMON DODGE (FORWARD),5KK,,1,21,16,37,,
>DEMON DODGE SLASH (FORWARD),5KK>LP,420,30,4,35,68,-18,-13
DEMON DODGE (BACKWARD),4KK,,1,21,16,37,,
>DEMON DODGE SLASH (BACKWARD),4KK>LP,420,30,4,35,68,-18,-13
DEMON DANCE (LP),214LP,105+210+105+210+105+210+315(1196),15,3(2)3(12)3(1)3(11)4(1)4(16)4,49,130,-31,40
DEMON DANCE (HP),214HP,105+210+105+210+105+210+420(1291),22,3(2)3(14)3(1)3(15)4(1)4(19)4,60,157,-42,40
DEMON DANCE (LP) (AIR) LOW,8>214LP,157*2+210*2+315(1017),20,4(11)2(2)2(6)2,24,72,-5,0
DEMON DANCE (HP) (AIR) LOW,8>214HP,210+157+157+210*2+315(1206),24,4(10)2(6)2(8)2(10)2,24,83,-7,16
DEMON DANCE (LP) (AIR),8>214LP,157*2+210*2+315(1017),16,4(11)2(2)2(6)2,,,,
DEMON DANCE (HP) (AIR),8>214HP,210+157+157+210*2+315(1206),20,4(10)2(6)2(8)2(10)2,,,,
ARROW STRIKE,236LK,1050,21,32,24,76,-23,-3
ARROW STRIKE (CHARGED),236(LK),525*3(1522),56,23,33,111,-31,52
ARC SHOT,236HK,1050+210*6(2058),16,47,0,62,59-65,64-69
ARC SHOT (CHARGED),236(HK),1050+210*12(2877),51,47,0,97,59-65,64-69
TARTARUS STAMPEDE,236PP,3454(4 HITS),19,5,105,128,-91,32
DEMOLISHER DEMON DANCE,214PP,210+420+105*13+315+630+210*3(2863),16,170,71,256,-54,28
DEMOLISHER DEMON DANCE (AIR) LOW,8>214PP,210*7+231*4+262+525(2649),20,115,17,147,0+1F LAND,55
DEMOLISHER DEMON DANCE (AIR),8>214PP,210*7+231*4+262+525(2649),16,115,17,147,0+1F LAND,
METEOR FALL,236KK,840+210*?,17,73,0,89,130-135,136-139
HUNTER'S PRIDE,214KK,5748(7 HITS),18,5,150,172,-136,12
