MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
HIENKYAKU (HP),214HP,,,,,,,
HIENKYAKU (LK),214LK,,,,,,,
HIENKYAKU (HK),214HK,,,,,,,
HIENKYAKU (LP) (AIR),8>214LP,,,,,,,
HIENKYAKU (HP) (AIR),8>214HP,,,,,,,
HIENKYAKU (LK) (AIR),8>214LK,,,,,,,
HIENKYAKU (HK) (AIR),8>214HK,,,,,,,
HYPER ZERO BLASTER (LVL 1),(P/K)>release,,,,,,,
HYPER ZERO BLASTER (LVL 2),(P/K)>release,,,,,,,
HYPER ZERO BLASTER (LVL 3),(P/K)>release,,,,,,,
HADANGEKI (LP),236LP,,,,,,,
HADANGEKI (HP),236HP,,,,,,,
>RAKUHOUHA,(P/K)>236P>L3 release,,,,,,,
RYUENJIN (LP),22LP,,,,,,,
RYUENJIN (HP),22HP,,,,,,,
>HYOURETSUZAN,(P/K)>22P>L3 release,,,,,,,
SENTSUIZAN (LK),8>236LK,,,,,,,
SENTSUIZAN (HK),8>236HK,,,,,,,
>F-SPLASHER,(P/K)>8>236K>L3 release,,,,,,,
RAIKOUSEN (LP),8>236LP,,,,,,,
RAIKOUSEN (HP),8>236HP,,,,,,,
>C-SWORD,(P/K)>8>236P>L3 release,,,,,,,
REKKOHA,236PP,,,,,,,
RAIJINSHOU,22PP,,,,,,,
GENMU ZERO (L3HC),214PP,,,,,,,
