MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
JUMP (BACKWARD),7,,,,,,,
SUPER-JUMP (FORWARD),29,,,,,,,
SUPER-JUMP (NEUTRAL),28,,,,,,,
SUPER-JUMP (BACKWARD),27,,,,,,,
JUMP (FORWARD) (AIR),8>9,,,,,,,
JUMP (NEUTRAL) (AIR),8>8,,,,,,,
JUMP (BACKWARD) (AIR),8>7,,,,,,,
THROW,4/6HP,1200,,,,,,
THROW (AIR),8>4/6HP,1200,,,,,,
LP,5LP,240,,,,,,
HP,5HP,720,,,,,,
LK,5LK,480,,,,,,
HK,5HK,720,,,,,,
CROUCH LP,2LP,240,,,,,,
CROUCH HP,2HP,720,,,,,,
CROUCH LK,2LK,480,,,,,,
CROUCH HK,2HK,720,,,,,,
JUMP LP,8LP,240,,,,,,
JUMP HP,8HP,720,,,,,,
JUMP LK,8LK,480,,,,,,
JUMP HK,8HK,720,,,,,,
CROSS SWORD,6HP,720,,,,,,
LANCE CHARGE,6LK,120*5(552),,,,,,
LANCE IMPALE,8>6LK,480,,,,,,
LANCE THRUST,8>6HK,720,,,,,,
DAGGER TOSS,236LP,360,,,,,,
DAGGER TOSS (2ND),236LP>LP,360*2,,,,,,
DAGGER TOSS (3RD),236LP>LP>LP,360*3(1044),,,,,,
DAGGER TOSS (AIR),8>236LP,360,,,,,,
DAGGER TOSS (AIR) (2ND),8>236LP>LP,360*2,,,,,,
DAGGER TOSS (AIR) (3RD),8>236LP>LP>LP,360*3(1044),,,,,,
LANCE TOSS,236HP,1200,,,,,,
LANCE TOSS (AIR),236HP,1200,,,,,,
SCATTER CROSSBOW,214LP,360*3(1044),,,,,,
SCATTER CROSSBOW (AIR),8>214LP,360*3(1044),,,,,,
FIRE BOTTLE TOSS,214HP,600+96*10(1430),,,,,,
FIRE BOTTLE TOSS (AIR),8>214HP,600+96*10(1430),,,,,,
SCYTHE TOSS,214LK,240*3+480(1152),,,,,,
SCYTHE TOSS (AIR),8>214LK,240*3+480(1152),,,,,,
AX TOSS,214HK,120*20(2076),,,,,,
AX TOSS (AIR),8>213HK,120*20(2076),,,,,,
HEAVENLY SLASH,22LP,1200,,,,,,
HELLBOUND SLASH,22HP,720*2(1368),,,,,,
SHIELD DEFLECT,22LK,,,,,,,
GODDESS' BRACLET,236PP,240*20(3504),,,,,,
FOR THE PRINCESS (L3HC),214PP,960*10(5568),,,,,,
v UNARMORED v,22KK,,,,,,,
DASH (FORWARD),5PP,,,,,,,
DASH (BACKWARD),4PP,,,,,,,
JUMP (FORWARD),9,,,,,,,
JUMP (NEUTRAL),8,,,,,,,
JUMP (BACKWARD),7,,,,,,,
SUPER-JUMP (FORWARD),29,,,,,,,
SUPER-JUMP (NEUTRAL),28,,,,,,,
SUPER-JUMP (BACKWARD),27,,,,,,,
JUMP (FORWARD) (AIR),8>9,,,,,,,
JUMP (NEUTRAL) (AIR),8>8,,,,,,,
JUMP (BACKWARD) (AIR),8>7,,,,,,,
THROW,4/6HP,1000,,,,,,
THROW (AIR),8>4/6HP,1000,,,,,,
LP,5LP,200,,,,,,
HP,5HP,600,,,,,,
LK,5LK,400,,,,,,
HK,5HK,600,,,,,,
CROUCH LP,2LP,200,,,,,,
CROUCH HP,2HP,600,,,,,,
CROUCH LK,2LK,400,,,,,,
CROUCH HK,2HK,600,,,,,,
JUMP LP,8LP,200,,,,,,
JUMP HP,8HP,600,,,,,,
JUMP LK,8LK,400,,,,,,
JUMP HK,8HK,600,,,,,,
CROSS SWORD,6HP,600,,,,,,
LANCE CHARGE,6LK,100*5(460),,,,,,
LANCE IMPALE,8>6LK,400,,,,,,
LANCE THRUST,8>6HK,600,,,,,,
DAGGER TOSS,236LP,300,,,,,,
DAGGER TOSS (2ND),236LP>LP,300*2,,,,,,
DAGGER TOSS (3RD),236LP>LP>LP,300*3(870),,,,,,
DAGGER TOSS (AIR),8>236LP,300,,,,,,
DAGGER TOSS (AIR) (2ND),8>236LP>LP,300*2,,,,,,
DAGGER TOSS (AIR) (3RD),8>236LP>LP>LP,300*3(870),,,,,,
LANCE TOSS,236HP,500,,,,,,
LANCE TOSS (2ND),236HP>HP,500*2,,,,,,
LANCE TOSS (AIR),8>236HP,500,,,,,,
LANCE TOSS (AIR) (2ND),236HP>HP8,500*2,,,,,,
SCATTER CROSSBOW,214LP,400*2,,,,,,
SCATTER CROSSBOW (AIR),8>214LP,400*2,,,,,,
FIRE BOTTLE TOSS,214HP,700/150*6(870),,,,,,
FIRE BOTTLE TOSS (AIR),8>214HP,700/150*6(870),,,,,,
SCYTHE TOSS,214LK,400*2,,,,,,
SCYTHE TOSS (AIR),8>214LK,400*2,,,,,,
AX TOSS,214HK,1200,,,,,,
AX TOSS (AIR),8>213HK,1200,,,,,,
HEAVENLY SLASH,22LP,1000,,,,,,
HELLBOUND SLASH,22HP,800+500(1250),,,,,,
SHIELD DEFLECT,22LK,,,,,,,
GODDESS' BRACLET,236PP,200*20(3100),,,,,,
GOLDEN ARMOR,22KK,,,,,,,
FOR THE PRINCESS (L3HC),214PP,800*10(4880),,,,,,
