Move Name,Input,Damage,Startup,Active,Recovery,Total,Block Advantage,Hit Advantage,Counterhit Advantage,Punishable by First Character,Punishable by Second Character
>PROP SHREDDER,236LP>HP,125*5+550(1120),17,2(11)6(0)6(0)6(0)6(0)6(0)1,0,60,,,,,
CRYSTAL,236HP,300*3(870),30,35,6,70,,,,,
>REVOLVER,236HP>HP,300*4+500(1590),25,9(0)15(0)3(0)12(0)3(1)1(0)3,27,98,,,,,
>>MILLION CARATS,236HP>HP>HP,1300,35,11,31,76,,,,,
MULTI-LOCK (LVL 1),236LK,200,9,2(4)2(3)2(3)2,17,43,,,,,
MULTI-LOCK (LVL 2),236(LK),200*2,,,,,,,,,
MULTI-LOCK (LVL 3),236(LK),200*3,,,,,,,,,
MULTI-LOCK (LVL 4),236(LK),200*4(780),,,,,,,,,
MULTI-LOCK (LVL 5),236(LK),200*5(960),,,,,,,,,
ACID RAIN,236HK,450*3+120*10(2217),45,28(4)9,0,85,,,,,
AIR TRICK,214LP,,24,26,6,55,,,,,
JET-STREAM,214HP,100+300*4+400(1560),20,2(5)4(2)4(4)4(2)4(14)4,33,101,,,,,
CRAZY DANCE,214HP>LP,1925(10 HITS),17,9,16,41,,,,,
TWISTER,214HP>HP,100*7(690),24,9(3)12,24,71,,,,,
TEMPEST,214HP>HP>HP,100*7+200*3(1230),24,9(15)33,22,102,,,,,
REVERB SHOCK,22LP,120*4+250,7,3(0)3(0)3(0)1(1)4,28,49,,,,,
JAM SESSION,22LP>LP,100*9+200(1050),18,4(0)4(0)4(0)4(0)4(0)4(0)4(0)4(0)4(0)7,24,84,,,,,
VOLCANO,22HP,1000,16,10,55,80,,,,,
BEEHIVE,22HP>HP,250*8+700(2290),13,6(0)6(0)6(0)6(0)6(0)6(0)6(0)7(19)2(0)4,24,110,,,,,
THE HAMMER,8>236LP,900,18,5,,,,,,,
SKY DANCE,8>236HP,300+200+110*4+350(1222),18,5(3)3(9)29,35,101,,,,,
AIR PLAY,8>236LK,400,17,1,,,,,,,
AIR PLAY (LVL 2),8>236(LK),400+300*2(870),,,,,,,,,
AIR PLAY (LVL 3),8>236(LK),250*5(1200),46,1,,,,,,,
KILLER BEE,8>236HK,1100,18,1,,,,,,,
BOLD MOVE,LK+HK,,36,0,0,36,,,,,
MILLION DOLLARS,236PP,100*26+150+500*2(2975),14,217,55,285,,,,,
DEVIL TRIGGER,22KK,,14,0,0,14,,,,,
DEVIL MUST DIE (L3HC),236KK,5450(6 HITS),18,9,69,95,,,,,
v DEVIL TRIGGER v,22KK,,,,,,,,,,
DASH (FORWARD),PP,,19,,,,,,,,
DASH (BACKWARD),4PP,,32,,,,,,,,
AIR-DASH (FORWARD),8>PP,,32,,,,,,,,
AIR-DASH (BACKWARD),8>4PP,,33,,,,,,,,
JUMP (FORWARD),9,,4,42,6,51,,,,,
JUMP (NEUTRAL),8,,4,42,6,51,,,,,
JUMP (BACKWARD),7,,4,42,6,51,,,,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,,,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,,,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,,,,
JUMP (FORWARD) (AIR),8>9,,,,,,,,,,
JUMP (NEUTRAL) (AIR),8>8,,,,,,,,,,
JUMP (BACKWARD) (AIR),8>7,,,,,,,,,,
THROW,4/6HP,924(6 HITS),3,1,,,,,,,
THROW (AIR) (FORWARD),8>4/6HP,990(4 HITS),3,1,,,,,,,
THROW (AIR) (BACKWARD),8>4/6HP,814(4 HITS),3,1,,,,,,,
LP,5LP,385,9,3,13,24,,,,,
HP,5HP,770,13,3,33,48,,,,,
LK,5LK,110*3(407),9,2(4)2(2)2(3)2,16,41,,,,,
HK,5HK,220*4(858),13,5(6)5(7)4(7)5,16,67,,,,,
CROUCH LP,2LP,440,11,2,32,44,,,,,
CROUCH HP,2HP,770,11,4,33,47,,,,,
CROUCH LK,2LK,385,8,3,16,26,,,,,
CROUCH HK,2HK,550+440,15,4(15)3,45,81,,,,,
JUMP LP,8LP,330,8,2,20,29,,,,,
JUMP HP,8HP,770,13,3,32,47,,,,,
JUMP LK,8LK,110*2(209),15,4(1)7,12,38,,,,,
JUMP HK,8HK,770,14,3,41,57,,,,,
RAISE THE FLAG,6LP,550,9,4,22,34,,,,,
REVERSE EDGE,8>6LP,550,10,3,34,46,,,,,
STINGER,6HP,880,16,5,29,49,,,,,
>MILLION STABS,6HP>HP,330*6(1782),,,,,,,,,
>>AIR TRICK,6HP>HP>LP,,,,,,,,,,
>>MILLION STABS (QUICK),6HP>HP>HP,330*6(1782),,,,,,,,,
>>DRIVE,6HP>HP>LK,660+990(1551),,,,,,,,,
>>VOLCANO,6HP>HP>HK,1100,,,,,,,,,
>>>BEEHIVE,6HP>HP>HK>HP,275*8+770(2518),,,,,,,,,
CLAY PIGEON,6HK,110*4(407),,,,,,,,,
HELM BREAKER,8>2HP,880,,,,,,,,,
RAIN STORM,8>2HK,66*12(778),,,,,,,,,
SCATTER SHOT (4 HITS),236LP,110*4(407),,,,,,,,,
SCATTER SHOT (6 HITS),236LP>LP,110*6(605),,,,,,,,,
SCATTER SHOT (8 HITS),236LP>LP>LP,110*8(783),,,,,,,,,
SCATTER SHOT (9 HITS),236LP>LP>LP>LP,110*9(872),,,,,,,,,
>RUN 'N' GUN (FORWARD) (4 HITS),236LP>6,110*4(407),,,,,,,,,
>RUN 'N' GUN (FORWARD) (6 HITS),236LP>6>LP,110*6(605),,,,,,,,,
>RUN 'N' GUN (FORWARD) (8 HITS),236LP>6>LP>LP,110*8(783),,,,,,,,,
>RUN 'N' GUN (BACKWARD) (4 HITS),236LP>4,110*4(407),,,,,,,,,
>RUN 'N' GUN (BACKWARD) (6 HITS),236LP>4>LP,110*6(605),,,,,,,,,
>RUN 'N' GUN (BACKWARD) (8 HITS),236LP>4>LP>LP,110*8(783),,,,,,,,,
>PROP SHREDDER,236LP>HP,137*5+605(1229),,,,,,,,,
CRYSTAL,236HP,330*3(957),,,,,,,,,
>REVOLVER,236HP>HP,330*4+550(1694),,,,,,,,,
>>MILLION CARATS,236HP>HP>HP,1430,,,,,,,,,
MULTI-LOCK (LVL 1),236LK,220,,,,,,,,,
MULTI-LOCK (LVL 2),236(LK),220*2,,,,,,,,,
MULTI-LOCK (LVL 3),236(LK),220*3,,,,,,,,,
MULTI-LOCK (LVL 4),236(LK),220*4(858),,,,,,,,,
MULTI-LOCK (LVL 5),236(LK),220*5(1056),,,,,,,,,
ACID RAIN,236HK,495*3+132*10(2407),,,,,,,,,
AIR TRICK,214LP,,,,,,,,,,
JET-STREAM,214HP,110+330*4+440(1716),,,,,,,,,
CRAZY DANCE,214HP>LP,2089(10 HITS),,,,,,,,,
TWISTER,214HP>HP,110*7(759),,,,,,,,,
TEMPEST,214HP>HP>HP,110*7+220*3(1430),,,,,,,,,
REVERB SHOCK,22LP,132*4+275,,,,,,,,,
JAM SESSION,22LP>LP,110*9+220(1155),,,,,,,,,
VOLCANO,22HP,1100,,,,,,,,,
BEEHIVE,22HP>HP,275*8+770(2518),,,,,,,,,
THE HAMMER,8>236LP,990,,,,,,,,,
SKY DANCE,8>236HP,330+220+121*4+385(1341),,,,,,,,,
AIR PLAY,8>236LK,440,,,,,,,,,
AIR PLAY (LVL 2),8>236(LK),440+330*2(957),,,,,,,,,
AIR PLAY (LVL 3),8>236(LK),270*5(1319),,,,,,,,,
KILLER BEE,8>236HK,1210,,,,,,,,,
BOLD MOVE,LK+HK,,,,,,,,,,
THUNDER BOLT,8>214LK,55*4-110*8(858),,,,,,,,,
VORTEX,8>214HK,165*4+330(957),,,,,,,,,
AIR RAID,214KK,,,,,,,,,,
AIR RAID (AIR),8>214KK,,,,,,,,,,
>AIR RAID (CANCEL),214KK>214KK,,,,,,,,,,
MILLION DOLLARS,236PP,110*26+165+550*2(3168),,,,,,,,,
DEVIL TRIGGER,22KK,,,,,,,,,,
DEVIL MUST DIE (L3HC),236KK,5896(6 HITS),,,,,,,,,
